dimension,cohort,rows,positives,prevalence,status,roc_auc,pr_auc,precision,recall,f1
gender,F,1091,111,0.10174152153987168,ok,0.6229316050744623,0.1437670440004323,0.16666666666666666,0.36936936936936937,0.22969187675070027
gender,M,1108,112,0.10108303249097472,ok,0.6118088425129088,0.1428363264483231,0.1536643026004728,0.5803571428571429,0.24299065420560748
gender,X,43,4,0.09302325581395349,insufficient_rows<50,,,,,
risk_segment,critical,98,20,0.20408163265306123,ok,0.4080128205128205,0.20041270593318417,0.20408163265306123,1.0,0.3389830508474576
risk_segment,high,276,44,0.15942028985507245,ok,0.5538793103448276,0.17588284818281014,0.18357487922705315,0.8636363636363636,0.30278884462151395
risk_segment,low,1341,88,0.06562266964951528,ok,0.5063484002031488,0.06351911692129678,0.046153846153846156,0.03409090909090909,0.0392156862745098
risk_segment,medium,527,75,0.14231499051233396,ok,0.506622418879056,0.13803914565250114,0.14906832298136646,0.64,0.24181360201511334
age_band,18-39,689,75,0.10885341074020319,ok,0.6025841476655809,0.16196394239515155,0.17647058823529413,0.4,0.24489795918367346
age_band,40-64,776,78,0.10051546391752578,ok,0.63843582396591,0.14103800601467942,0.1520912547528517,0.5128205128205128,0.23460410557184752
age_band,65+,777,74,0.09523809523809523,ok,0.6010918457575641,0.1324509872241238,0.15057915057915058,0.527027027027027,0.23423423423423423
